"TableName","State","Total","SumOfBatchID"
"utMain","31","1155560","566815459665216"
"utName","31","1188646","586523679880955"
"utOby","31","491355","299242828402448"
"utPool","31","9330","4295067687978"
"utSaleData","31","970159","433363892511147"
"utTaxDistrict","31","837090","528048652016770"
"utTaxExemption","31","106308","60089672308970"
"utTypeConstruction","31","423655","160327442521793"
"utValue","31","1155560","566815459665216"
"utVestingCodes","31","51132","47582939288735"
"utBKManagedSpecific","32","1230914","31128774879870"
"utBuilding","32","1230914","31128774879870"
"utBuildingAreas","32","3016776","31401966501482"
"utCareOfName","32","104028","2453691734060"
"utExteriorWall","32","862104","3383587639702"
"utExtraFeature","32","2006192","7814752570473"
"utGarage","32","1516951","35884263593775"
"utInteriorFlooring","32","1255627","4669957676991"
"utInteriorWall","32","9625","41438564490"
"utLotSiteAppeal","32","5791","25225295406"
"utMailAddress","32","1230914","31128774879870"
"utMain","32","1230914","31128774879870"
"utName","32","1244644","38773502650277"
"utOby","32","208221","1213320419603"
"utPool","32","186918","696504733018"
"utSaleData","32","1693740","46373035221749"
"utTaxDistrict","32","4696","20287428302"
"utTaxExemption","32","98310","5042602147444"
"utTypeConstruction","32","849600","3269615055026"
"utValue","32","1230914","31128774879870"
"utVestingCodes","32","220276","818770597956"
"utBKManagedSpecific","33","690146","3267435933374"
"utBuilding","33","690146","3267435933374"
"utBuildingAreas","33","1763894","8352503815439"
"utCareOfName","33","82","388528350"
"utExteriorWall","33","524528","2483598288073"
"utExtraFeature","33","169071","800619559644"
"utGarage","33","163424","773927181895"
"utLotSiteAppeal","33","31417","148642735815"
"utMailAddress","33","690146","3267435933374"
"utMain","33","690146","3267435933374"
"utName","33","1067173","5052507303308"
"utOby","33","345669","1636797092969"
"utPool","33","21651","102537182069"
"utSaleData","33","451970","2140009417250"
"utTypeConstruction","33","109845","520141337737"
"utValue","33","690146","3267435933374"
"utVestingCodes","33","2262","10708459915"
"utBKManagedSpecific","34","3162120","13433421685211"
"utBuilding","34","3162120","13433421685211"
"utBuildingAreas","34","3164637","13610803428805"
