"TableName","State","Total","SumOfBatchID"
"utBuyerMailAddress","32","3902724","3306536114001416"
"utBuyerName","32","5877337","4911520186792960"
"utBuyerNameDescriptionCode","32","5714143","4779289411601476"
"utForeclosureNameAddress","32","824337","7818412123276"
"utForeclosureNODNOSDoc","32","134110","1568835847754"
"utForeclosureOriginalLoan","32","701979","6463042541316"
"utLegacy","32","111047","96281548011873"
"utMain","32","6140835","4467172843680836"
"utPropertyInfo","32","6545953","4798817203901791"
"utSellerMailAddress","32","2450535","2246425472665370"
"utSellerName","32","5792855","4840731471612936"
"utSellerNameDescriptionCode","32","5084090","4228730548254407"
"utBKManagedSpecific","33","1547351","7326009509942"
"utBorrowerName","33","1123018","5010828953990"
"utBorrowerNameDescriptionCode","33","156881","732150430796"
"utBuyerMailAddress","33","907952","4298404073969"
"utBuyerName","33","1351384","6397654482018"
"utBuyerNameDescriptionCode","33","467157","2211711410420"
"utForeclosureNameAddress","33","54502","55600071130"
"utForeclosureNODNOSDoc","33","10","26561959"
"utForeclosureOriginalLoan","33","54391","55538295903"
"utMain","33","1702255","7425199929668"
"utPropertyInfo","33","1709406","7459057093297"
"utRegionSpecific","33","54830","41853863655"
"utSellerMailAddress","33","1","4734110"
"utSellerName","33","1298762","6148533867317"
"utSellerNameDescriptionCode","33","441641","2090917830669"
"utBKManagedSpecific","34","9485430","967861315358533"
"utBorrowerMailAddress","34","36633","1679413802062"
"utBorrowerName","34","9032610","876003973637649"
"utBorrowerNameDescriptionCode","34","5648057","537383668215037"
"utBuyerMailAddress","34","4791736","483606131582801"
"utBuyerName","34","7268870","748309677650953"
"utBuyerNameDescriptionCode","34","6064755","703718605579012"
"utForeclosureNameAddress","34","1112572","1025040266756"
"utForeclosureNODNOSDoc","34","62967","30736857556"
"utForeclosureOriginalLoan","34","303079","197506020826"
"utLegacy","34","9005","1094873335501"
"utMain","34","10594519","991563025301095"
"utPropertyInfo","34","11132661","1029370309520299"
"utSellerMailAddress","34","2633629","275728768729145"
"utSellerName","34","7063258","736055295179098"
"utSellerNameDescriptionCode","34","5670581","609992534809166"
"utBKManagedSpecific","35","2191936","831150284359002"
"utBorrowerMailAddress","35","27772","5804371396113"
"utBorrowerName","35","1054062","357948835542630"
"utBorrowerNameDescriptionCode","35","964671","333069040312646"
"utBuyerMailAddress","35","1590084","632868617350931"
"utBuyerName","35","2459896","999639305589570"
"utBuyerNameDescriptionCode","35","2376727","968408929637625"
"utForeclosureNameAddress","35","70114","3120860633679"
"utForeclosureNODNOSDoc","35","17892","430273798891"
"utForeclosureOriginalLoan","35","33568","1521733415966"
"utLegacy","35","18857","3434812631305"
"utMain","35","2291393","861757812127133"
"utPropertyInfo","35","2309840","873017247951897"
"utSellerMailAddress","35","267172","97087136745514"
"utSellerName","35","2520483","1039170262984599"
"utSellerNameDescriptionCode","35","2252869","953235011931005"
"utBKManagedSpecific","36","13179953","1421634914432898"
"utBorrowerMailAddress","36","1609074","1338523383236263"
"utBorrowerName","36","10506206","2314828306793574"
"utBorrowerNameDescriptionCode","36","6524092","1139248596653594"
"utBuyerMailAddress","36","8563881","1621897444712653"
"utBuyerName","36","10661520","2290741935300374"
"utBuyerNameDescriptionCode","36","7576559","1947002555712743"
"utForeclosureNameAddress","36","280952","325983216892"
"utForeclosureNODNOSDoc","36","4053","6037148819"
"utForeclosureOriginalLoan","36","98509","113547958507"
"utLegacy","36","18491","9581078738679"
"utMain","36","15172316","3031770790152848"
"utPropertyInfo","36","15681620","3197342581772140"
"utSellerMailAddress","36","4058070","1618406099724832"
"utSellerName","36","10771317","2306603681281585"
"utSellerNameDescriptionCode","36","6623092","1899720626882420"
"utBKManagedSpecific","37","11276115","7364489767546139"
"utBorrowerMailAddress","37","30333","14472663573524"
"utBorrowerName","37","9804828","6345928981120759"
"utBorrowerNameDescriptionCode","37","7311612","4789137155873612"
"utBuyerMailAddress","37","5893883","3876647719180727"
"utBuyerName","37","8956021","5926023714431047"
"utBuyerNameDescriptionCode","37","8581492","5754773943109264"
