who,color,heading,xcor,ycor,shape,label,label-color,breed,hidden?,size,pen-size,pen-mode,total_market_value,structure_value,sq.ft.,damage_pct_10y,damage_pct_100y,cost_to_personal_property_10y,cost_to_personal_property_100y,latitude,longitude,elevation,stories,basement,inundation_10y,inundation_100y,future_loss,future_benefit,mot_year,ori_year,ori_moved?,nearhouse,move,normal_inf?,poor_inf?,s_prime,moved?,cnear,nbpast_move
354,29,352,-516.335883,673.4157738,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",544000,347000,2400,0,0,0,0,40.628799,-73.926116,5.1,2,"""""",0,0,2.88E+08,0,1,1,TRUE,{turtles 4302 5861 119 3379 331 302 4483 5067 4495 1774},0,FALSE,FALSE,-804919.041,TRUE,0,2
355,49,37,-310.4552762,464.5553318,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",850000,550000,4450,0.532,0.672,50000,50000,40.611136,-73.908705,2.5,1,"""""",58,86,3.93E+08,0,1,1,TRUE,{turtles 705 3320 5685 956 2510 4835 892 914 2498 4294},0,FALSE,FALSE,-552911.0156,TRUE,0,2
356,49,5,-277.7243866,434.5323084,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",901000,643000,4233,0,0.321,0,43001,40.608597,-73.905937,4.2,1,"""""",0,19,4.10E+08,0,1,1,TRUE,{turtles 5828 5123 164 966 826 1105 177 1515 4724 4350},0,FALSE,FALSE,-510909.6781,TRUE,0,2
357,29,228,-605.4471489,471.4846314,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",549000,372000,2200,0,0.152,0,32317,40.611722,-73.933652,4.4,2,"""""",0,12,2.90E+08,0,1,1,TRUE,{turtles 1706 4942 2749 997 623 5499 4770 952 5705 1938},0,FALSE,FALSE,-800801.2629,TRUE,0,2
358,29,309,-73.55836769,802.7193425,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",540000,345000,4150,0.586,0.672,50000,50000,40.639734,-73.888671,2.4,1,"""""",62,90,2.87E+08,0,1,1,TRUE,{turtles 5240 3997 3630 5459 2040 58 2667 1662 4946 114},0,FALSE,FALSE,-808213.2636,TRUE,0,2
359,19,171,-364.7663225,823.6373135,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",366000,204000,1800,0,0,0,0,40.641503,-73.913298,5.8,2,"""""",0,0,1.17E+08,0,4,4,TRUE,{turtles 4481 4858 5802 2713 1301 3030 3484 4389 5386 4179},0,FALSE,FALSE,-68824.89695,TRUE,0,2
360,19,90,-397.2843668,807.6384357,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",385000,134000,2733,0,0,0,0,40.64015,-73.916048,5.8,2,"""""",0,0,1.21E+08,0,4,4,TRUE,{turtles 5079 719 1225 1784 4806 2253 4188 2281 4011 5544},0,FALSE,FALSE,-27995.57719,TRUE,0,2
361,29,174,-523.7854713,574.5845688,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",510000,298000,3000,0,0,0,0,40.620441,-73.926746,4.9,2,"""""",0,0,2.77E+08,0,1,1,TRUE,{turtles 1780 946 4553 887 4918 2044 1929 1561 185 2805},0,FALSE,FALSE,-832919.9328,TRUE,0,2
362,29,129,-464.6026307,508.2004595,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",491000,325000,2000,0.362,0.449,50000,50000,40.614827,-73.921741,2.7,2,"""""",50,78,2.70E+08,0,1,1,TRUE,{turtles 2266 2310 4652 3574 3489 3355 4 899 4501 247},0,FALSE,FALSE,-848567.4899,TRUE,0,2
363,29,83,-965.9008009,102.1978961,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",516000,332000,1850,0.362,0.449,50000,50000,40.580492,-73.964135,2.6,1.5,"""""",54,82,2.79E+08,0,1,1,TRUE,{turtles 4054 4762 4165 1991 5714 2206 550 2935 2222 4290},0,FALSE,FALSE,-827978.5989,TRUE,0,2
364,19,278,-403.6224292,938.8103139,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",335000,110000,2200,0,0,0,0,40.651243,-73.916584,8.6,1,"""""",0,0,1.12E+08,0,4,4,TRUE,{turtles 2035 542 1954 2648 2067 2861 2912 4424 860 5602},0,FALSE,FALSE,-135441.1555,TRUE,0,2
365,29,34,-528.0069047,433.0660402,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",500000,327000,2500,0.263,0.362,46633,50000,40.608473,-73.927103,3.2,2,"""""",30,59,2.73E+08,0,1,1,TRUE,{turtles 5376 14 4374 3902 434 3380 4896 4997 5715 2350},0,FALSE,FALSE,-841155.4891,TRUE,0,2
366,29,247,-299.2099453,711.5032722,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",432000,300000,1600,0.524,0.587,50000,50000,40.63202,-73.907754,1.5,2,"""""",97,126,2.50E+08,0,1,1,TRUE,{turtles 4608 2527 4328 2756 728 2407 1087 5277 4213 1687},0,FALSE,FALSE,-897157.2726,TRUE,0,2
367,29,274,-560.2766293,651.3271532,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",558000,405000,2500,0,0,0,0,40.626931,-73.929832,5.8,2,"""""",0,0,2.93E+08,0,1,1,TRUE,{turtles 3016 2162 1698 4732 4214 1402 3969 683 4445 4322},0,FALSE,FALSE,-793389.2621,TRUE,0,2
368,29,333,-454.3269288,523.8091208,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",499000,331000,2000,0.314,0.407,50000,50000,40.616147,-73.920872,2.9,2,"""""",42,71,2.73E+08,0,1,1,TRUE,{turtles 5306 905 3218 5266 4442 3973 5456 445 1077 2588},0,FALSE,FALSE,-841979.0448,TRUE,0,2
369,29,357,-439.7943192,932.0110864,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",449000,204000,2200,0,0,0,0,40.650668,-73.919643,8.5,2,"""""",0,0,2.56E+08,0,1,1,TRUE,{turtles 1026 160 3996 2045 1212 322 4475 568 1389 536},0,FALSE,FALSE,-883156.8267,TRUE,0,2
370,39,101,-697.502776,200.485163,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",675000,533000,1800,0.314,0.449,50000,50000,40.588804,-73.941437,2.8,2,"""""",46,75,3.33E+08,0,1,1,TRUE,{turtles 4987 1467 2012 5371 1037 1882 3230 8 3866 4366},0,FALSE,FALSE,-697033.2524,TRUE,0,2
371,39,338,-412.5855847,551.0533295,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",702000,550000,3059,0.209,0.314,43001,50000,40.618451,-73.917342,3.5,2,"""""",18,47,3.42E+08,0,1,1,TRUE,{turtles 1098 2798 1874 2702 1790 3821 1470 409 1130 4221},0,FALSE,FALSE,-674797.2501,TRUE,0,2
372,39,170,-710.498169,486.431107,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",774000,543000,3000,0,0,0,0,40.612986,-73.942536,5.5,2,"""""",0,0,3.67E+08,0,1,1,TRUE,{turtles 497 2623 1643 2491 4149 4646 4758 2009 1486 5269},0,FALSE,FALSE,-615501.2442,TRUE,0,2
373,19,332,-202.7318642,779.3772991,"""circle""","""""",9.9,{breed poors},FALSE,5,1,"""up""",374000,199000,2825,0.1835,0,0,7207,40.63776,-73.899595,4.6,1,"""""",0,4,1.19E+08,0,4,4,TRUE,{turtles 2592 3332 4303 5359 2247 2452 4980 602 2411 1570},0,FALSE,FALSE,-51633.60442,TRUE,0,2
374,79,280,-264.6462205,402.1798105,"""triangle""","""""",9.9,{breed normals},FALSE,5,1,"""up""",1427000,892000,4300,0.754,0.754,50000,50000,40.605861,-73.904831,0.5,1,"""""",136,165,5.90E+08,0,1,1,TRUE,{turtles 1215 5177 4949 2800 2658 385 3083 2853 1900 2638},0,FALSE,FALSE,-77719.41218,TRUE,0,2
