Subsidy,OBJECTIVE
961000,6.23E+08
962000,6.24E+08
964000,6.25E+08
963000,6.24E+08
965000,6.25E+08
966000,6.26E+08
967000,6.26E+08
968000,6.27E+08
969000,6.27E+08
970000,6.28E+08
971000,6.28E+08
972000,6.29E+08
973000,6.29E+08
974000,6.30E+08
975000,6.30E+08
976000,6.31E+08
977000,6.31E+08
978000,6.32E+08
979000,6.33E+08
980000,6.33E+08
981000,6.34E+08
982000,6.34E+08
983000,6.35E+08
984000,6.35E+08
985000,6.36E+08
986000,6.36E+08
987000,6.37E+08
988000,6.37E+08
989000,6.38E+08
990000,6.38E+08
991000,6.39E+08
993000,6.40E+08
992000,6.39E+08
994000,6.40E+08
995000,6.41E+08
996000,6.41E+08
997000,6.42E+08
998000,6.42E+08
999000,6.43E+08
1000000,6.43E+08
