[run number],Subsidy,Moving_Cost_Multiplier,[step],OBJECTIVE,,,,,,
573,730000,6,101,7.51E+09,,,,,,
574,740000,6,101,7.59E+09,,,,,,
575,750000,6,101,7.68E+09,,,,,,
576,760000,6,101,7.76E+09,,,,,,
577,770000,6,101,7.84E+09,,,,,,
578,780000,6,101,7.92E+09,,,,,,
579,790000,6,101,8.01E+09,,,,,,
581,810000,6,101,8.17E+09,,,,,,
580,800000,6,101,8.09E+09,,,,,,
582,820000,6,101,8.26E+09,,,,,,
583,830000,6,101,8.34E+09,,,,,,
584,840000,6,101,8.43E+09,,,,,,
585,850000,6,101,8.51E+09,,,,,,
586,860000,6,101,8.60E+09,,,,,,
587,870000,6,101,8.68E+09,,,,,,
588,880000,6,101,8.77E+09,,,,,,
589,890000,6,101,8.86E+09,,,,,,
590,900000,6,101,8.95E+09,,,,,,
591,910000,6,101,9.03E+09,,,,,,
592,920000,6,101,9.12E+09,,,,,,
593,930000,6,101,9.21E+09,,,,,,
594,940000,6,101,9.30E+09,,,,,,
595,950000,6,101,9.39E+09,,,,,,
596,960000,6,101,9.47E+09,,,,,,
597,970000,6,101,9.56E+09,,,,,,
598,980000,6,101,9.65E+09,,,,,,
599,990000,6,101,9.75E+09,,,,,,
